FINAL RESULTS
MDL16CS051 6.3913
MDL16CS052 8.8260
MDL16CS053 5.6521
MDL16CS054 7.6956
MDL16CS055 9.5217
MDL16CS056 9.0434
MDL16CS057 6.5217
MDL16CS058 9.1304
MDL16CS059 10.0434
MDL16CS060 7.6521
MDL16CS061 6.7391
MDL16CS062 9.1739
MDL16CS063 8.3478
MDL16CS064 7.8695
MDL16CS065 8.5217
MDL16CS066 8.5652
MDL16CS067 7.7391
MDL16CS068 6.4347
MDL16CS069 8.7826
MDL16CS070 8.9130
MDL16CS071 9.8260
MDL16CS072 8.6086
MDL16CS073 9.7826
MDL16CS074 9.0869
MDL16CS075 6.2608
MDL16CS076 8.3043
MDL16CS077 8.3913
MDL16CS078 9.7826
MDL16CS079 9.6521
MDL16CS080 6.8260
MDL16CS081 9.3043
MDL16CS082 8.3478
MDL16CS083 9.0000
MDL16CS084 7.1739
MDL16CS085 5.0869
MDL16CS086 9.3043
MDL16CS087 9.6956
MDL16CS088 9.8260
MDL16CS089 8.8260
MDL16CS090 8.0000
MDL16CS091 9.0434
MDL16CS092 9.1304
MDL16CS093 9.7826
MDL16CS094 6.4347
MDL16CS095 9.8260
MDL16CS096 8.7391
MDL16CS097 6.6521
MDL16CS098 3.3043
MDL16CS099 9.5217
MDL16CS100 8.7391
MDL16CS101 8.6956
MDL16CS102 7.3478
MDL16CS103 8.5217
MDL16CS104 5.7826
MDL16CS105 8.2173
MDL16CS106 8.8695
MDL16CS107 8.7391
MDL16CS108 8.7391
MDL16CS109 9.9565
MDL16CS110 9.8695
MDL16CS111 8.6521
MDL16CS112 8.5217
MDL16CS113 7.7826
MDL16CS114 6.7826
MDL16CS115 8.1304
MDL16CS116 6.9130
MDL16CS117 8.4347
MDL16CS118 6.6956
MDL16CS119 8.2173
MDL16CS120 5.4347
MDL16CS121 2.7826
MDL16CS122 8.3913
MDL16CS123 9.4347
